"","UWI","SURFX","SURFY","DATE","INJ","cum_inj","tol_inj","CUMU_INJ"
"274","42221311090000",1889924.386,237269.3924,2007-06-01,116792,267722,25341123,5055569
"275","42221311090000",1889924.386,237269.3924,2007-07-01,191616,459338,25341123,5639953
"276","42221311090000",1889924.386,237269.3924,2007-08-01,230584,689922,25341123,5967755
"277","42221311090000",1889924.386,237269.3924,2007-09-01,336290,1026212,25341123,5629384
"278","42221311090000",1889924.386,237269.3924,2007-10-01,329437,1355649,25341123,6483309
"279","42221311090000",1889924.386,237269.3924,2007-11-01,311543,1667192,25341123,6157035
"280","42221311090000",1889924.386,237269.3924,2007-12-01,294597,1961789,25341123,5777613
"281","42221311090000",1889924.386,237269.3924,2008-01-01,335332,2297121,25341123,6452815
"282","42221311090000",1889924.386,237269.3924,2008-02-01,233728,2530849,25341123,7775520
"283","42221311090000",1889924.386,237269.3924,2008-03-01,186328,2717177,25341123,9152519
"284","42221311090000",1889924.386,237269.3924,2008-04-01,84798,2801975,25341123,8881211
"285","42221311090000",1889924.386,237269.3924,2008-05-01,70679,2872654,25341123,9790992
"286","42221311090000",1889924.386,237269.3924,2008-06-01,79306,2951960,25341123,9489076
"287","42221311090000",1889924.386,237269.3924,2008-07-01,14018,2965978,25341123,9342850
"288","42221311090000",1889924.386,237269.3924,2008-08-01,51833,3017811,25341123,9977335
"289","42221311090000",1889924.386,237269.3924,2008-09-01,58187,3075998,25341123,9513587
"290","42221311090000",1889924.386,237269.3924,2008-10-01,85923,3161921,25341123,9729575
"291","42221311090000",1889924.386,237269.3924,2008-11-01,185372,3347293,25341123,10178583
"292","42221311090000",1889924.386,237269.3924,2008-12-01,26385,3373678,25341123,9857864
"293","42221311090000",1889924.386,237269.3924,2009-01-01,15230,3388908,25341123,9714975
"294","42221311090000",1889924.386,237269.3924,2009-02-01,23466,3412374,25341123,9563848
"295","42221311090000",1889924.386,237269.3924,2009-03-01,21971,3434345,25341123,10011008
"296","42221311090000",1889924.386,237269.3924,2009-04-01,34788,3469133,25341123,8817835
"297","42221311090000",1889924.386,237269.3924,2009-05-01,270520,3739653,25341123,9222275
"298","42221311090000",1889924.386,237269.3924,2009-06-01,276866,4016519,25341123,8823798
"299","42221311090000",1889924.386,237269.3924,2009-07-01,202655,4219174,25341123,9681047
"300","42221311090000",1889924.386,237269.3924,2009-08-01,550472,4769646,25341123,10148823
"301","42221311090000",1889924.386,237269.3924,2009-09-01,465460,5235106,25341123,9880092
"302","42221311090000",1889924.386,237269.3924,2009-10-01,246502,5481608,25341123,10866851
"303","42221311090000",1889924.386,237269.3924,2009-11-01,428658,5910266,25341123,10107974
"304","42221311090000",1889924.386,237269.3924,2009-12-01,260876,6171142,25341123,10176315
"305","42221311090000",1889924.386,237269.3924,2010-01-01,301844,6472986,25341123,10900701
"306","42221311090000",1889924.386,237269.3924,2010-02-01,428931,6901917,25341123,10320596
"307","42221311090000",1889924.386,237269.3924,2010-03-01,356190,7258107,25341123,12054256
"308","42221311090000",1889924.386,237269.3924,2010-04-01,360307,7618414,25341123,11657482
"309","42221311090000",1889924.386,237269.3924,2010-05-01,485745,8104159,25341123,12361540
